mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms_energy,spectral_contrast,instrument,filename
-229.422440,89.276894,2.554579,45.805084,-6.128215,6.260310,1.315413,9.211670,-15.167664,-10.669633,-8.062209,-1.833905,-3.149407,1910.323365,2269.944973,4323.701547,0.067894,0.059331,28.046942,acoustic_guitar,014__[gac][nod][cou_fol]0770__1.wav
-226.006042,89.563141,4.103740,39.926300,-11.524439,11.361109,-2.959503,-0.542752,-10.262342,3.523763,-6.872192,3.718229,2.961634,2006.464572,2323.363572,4622.847431,0.078069,0.049661,27.890708,acoustic_guitar,014__[gac][nod][cou_fol]0770__2.wav
-250.121368,138.542206,6.256429,29.757786,-0.949532,6.332057,-2.758225,-0.195290,-7.803285,-0.096428,-4.591496,-9.756778,-13.192226,1174.895476,1735.523927,2225.953463,0.048607,0.057132,26.523439,acoustic_guitar,040__[gac][nod][cou_fol]0713__1.wav
-315.403534,137.746124,11.787100,32.833668,6.986982,11.408664,10.557991,7.815711,-7.967284,-2.383656,-10.220675,-7.786952,-7.514720,1013.752061,1721.270023,1815.166203,0.027036,0.046856,26.146889,acoustic_guitar,040__[gac][nod][cou_fol]0713__2.wav
-203.159058,167.454193,-26.241550,22.828178,15.340634,-1.223856,-10.613196,-6.562806,-8.754470,-9.665020,-10.651632,-11.489168,-12.007123,1037.800987,984.236408,1911.568697,0.062237,0.186637,27.188538,acoustic_guitar,045__[gac][nod][jaz_blu]0823__1.wav
-228.587662,148.268875,6.127874,25.722462,13.141832,2.400182,0.170177,-0.520938,-5.737757,-6.595460,-10.315110,-4.565151,-9.341220,877.250688,1075.435410,1596.687012,0.043855,0.179324,24.787521,acoustic_guitar,045__[gac][nod][jaz_blu]0823__2.wav
-71.665268,53.062138,0.336143,19.258247,-6.929133,4.517376,-10.892877,-1.403371,-8.983085,-7.070236,-10.919943,-4.322796,-5.698121,3330.933829,2866.116475,6778.155424,0.187440,0.097598,23.002359,acoustic_guitar,052__[gac][nod][cou_fol]0769__1.wav
-87.514641,115.442009,-5.423964,27.018663,13.433169,7.978896,2.874798,-4.372831,-17.096296,-5.176504,-12.889850,5.002692,-0.911787,1691.319293,2180.433347,3533.598633,0.068202,0.164485,24.717755,acoustic_guitar,068__[gac][nod][cou_fol]0774__1.wav
-94.936790,119.371872,-2.708246,26.411629,15.761219,12.123240,5.874740,-0.790978,-13.130313,-2.357026,-10.343746,0.995725,-2.654893,1598.140295,2179.195692,3411.853215,0.054947,0.168834,23.904259,acoustic_guitar,068__[gac][nod][cou_fol]0774__2.wav
-103.165070,126.432648,0.531862,25.141985,13.691323,10.675448,2.451001,-3.804006,-12.563232,-2.326192,-13.633798,0.349965,-0.957069,1498.402994,2086.972976,3136.807955,0.053816,0.165495,24.974414,acoustic_guitar,068__[gac][nod][cou_fol]0774__3.wav
